time,user,uj,step,cycle,error type,error cause,cause message/ddi
2018-01-29 07:03:08,0009,Open and Assign CM WO as Supervisor,Select WO,245,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:03:48,0009,Open and Assign CM WO as Supervisor,Select WO,246,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:04:16,0009,Open and Assign CM WO as Supervisor,Select WO,247,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:04:55,0009,Open and Assign CM WO as Supervisor,Select WO,248,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:05:24,0009,Open and Assign CM WO as Supervisor,Select WO,249,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:05:56,0009,Open and Assign CM WO as Supervisor,Select WO,250,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:06:35,0009,Open and Assign CM WO as Supervisor,Select WO,251,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:07:07,0009,Open and Assign CM WO as Supervisor,Select WO,252,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:07:39,0009,Open and Assign CM WO as Supervisor,Select WO,253,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:08:17,0009,Open and Assign CM WO as Supervisor,Select WO,254,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:08:46,0009,Open and Assign CM WO as Supervisor,Select WO,255,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:09:15,0009,Open and Assign CM WO as Supervisor,Select WO,256,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:09:50,0009,Open and Assign CM WO as Supervisor,Select WO,257,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:10:25,0009,Open and Assign CM WO as Supervisor,Select WO,258,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:11:03,0009,Open and Assign CM WO as Supervisor,Select WO,259,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:11:45,0009,Open and Assign CM WO as Supervisor,Select WO,260,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:12:29,0009,Open and Assign CM WO as Supervisor,Select WO,261,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
